,Entity,Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
194,Cook Islands,COK,0,0,0,0,0,0,0,0,0,0,
195,Fiji,FJI,0,0,0,0,0,0,0,0,0,0.01,
196,French Polynesia,PYF,0,0,0,0,0,0,0,0,0,0,
197,Guam,,0,0,0,0,0,0,0,0,0,0,
198,Hawaiian Trade Zone,,--,--,--,--,--,--,--,--,--,--,
199,Hong Kong,HKG,0,0,0,0,0,0,0,0,0,0.1,
200,India,IND,3,3.2,3.3,3.5,3.9,4.5,4.7,5.2,7,7,
201,Indonesia,IDN,0,0,0,0,0.2,0.5,1.2,2.2,6.2,8,
202,Japan,JPN,0,0,0,0,0,0.1005,0.102,0.103,0.203,1.3,
203,Kiribati,KIR,0,0,0,0,0,0,0,0,0,0,
204,Korea,,0,0,0,0,0,0,0,0,0,0,0
205,Korea,,0,0,0.02,0.04,0.1,0.2,0.9,1.7,3.2,5,6.5
206,Laos,LAO,0,0,0,0,0,0,0,0,0,0,
207,Macau,,0,0,0,0,0,0,0,0,0,0,
208,Malaysia,MYS,0,0,0,0,0,1.1,2.5,4.5,4.5,2,
209,Maldives,MDV,0,0,0,0,0,0,0,0,0,0,
210,Mongolia,MNG,0,0,0,0,0,0,0,0,0,0,
211,Nauru,NRU,0,0,0,0,0,0,0,0,0,0,
212,Nepal,NPL,0,0,0,0,0,0,0,0,0,0,
213,New Caledonia,NCL,0,0,0,0,0,0,0,0,0,0,
214,New Zealand,NZL,0,0,0,0,0,0,0.02,0.06,0.12,0.12,
215,Niue,NIU,0,0,0,0,0,0,0,0,0,0,
216,Pakistan,PAK,0,0,0,0,0,0.8,0.6,0.6,0.3,0.2,
217,Papua New Guinea,PNG,0,0,0,0,0,0,0,0,0,0,
218,Philippines,PHL,0,0,0,0,0.2,0.4,0.6,1.11,2.5,2.9,
219,Samoa,WSM,0,0,0,0,0,0,0,0,0,0,
220,Singapore,SGP,0,0,0,0,0.02,0.3,0.7,2,1,0.5,
221,Solomon Islands,SLB,0,0,0,0,0,0,0,0,0,0,
222,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,
223,Taiwan,TWN,0,0,0,0,0,0,0.1,0.4,0.7,0.5,
224,Thailand,THA,0,0,0,0.1,1.6,2.6,4.2,13.4,17.4,18.5,
225,Timor-Leste (East Timor),,--,--,0,0,0,0,0,0,0,0,
226,Tonga,TON,0,0,0,0,0,0,0,0,0,0,
227,U.S. Pacific Islands,,0,0,0,0,0,0,0,0,0,0,
228,Vanuatu,VUT,0,0,0,0,0,0,0,0,0,0,
229,Vietnam,VNM,0,0,0,0,0,0,0,0,0.044,0.6,
230,Wake Island,,0,0,0,0,0,0,0,0,0,0,
231,World,OWID_WRL,342.86511,403.46556,499.40828,554.7574,656.27391,840.37053,1103.10749,1476.22083,1633.06158,1855.64882,
